S 68214c,1 tag = 6664, set = 10, block = 6824268 miss 
S 642940,4 tag = 6410, set = 10, block = 6564160 miss eviction 
L 602184,4 tag = 6152, set = 12, block = 6300036 hit 
S 6429c0,4 tag = 6410, set = 14, block = 6564288 miss eviction 
L 602188,4 tag = 6152, set = 12, block = 6300040 hit 
S 642a40,4 tag = 6410, set = 18, block = 6564416 miss eviction 
L 60218c,4 tag = 6152, set = 12, block = 6300044 hit 
S 642ac0,4 tag = 6410, set = 22, block = 6564544 miss eviction 
L 602190,4 tag = 6152, set = 12, block = 6300048 hit 
S 642b40,4 tag = 6410, set = 26, block = 6564672 miss eviction 
L 602194,4 tag = 6152, set = 12, block = 6300052 hit 
S 642bc0,4 tag = 6410, set = 30, block = 6564800 miss eviction 
L 602198,4 tag = 6152, set = 12, block = 6300056 hit 
S 642c40,4 tag = 6411, set = 2, block = 6564928 miss eviction 
L 60219c,4 tag = 6152, set = 12, block = 6300060 hit 
S 642cc0,4 tag = 6411, set = 6, block = 6565056 miss eviction 
L 6021a0,4 tag = 6152, set = 13, block = 6300032 miss 
S 642d40,4 tag = 6411, set = 10, block = 6565184 miss eviction 
L 6021a4,4 tag = 6152, set = 13, block = 6300036 hit 
S 642dc0,4 tag = 6411, set = 14, block = 6565312 miss eviction 
L 6021a8,4 tag = 6152, set = 13, block = 6300040 hit 
S 642e40,4 tag = 6411, set = 18, block = 6565440 miss eviction 
L 6021ac,4 tag = 6152, set = 13, block = 6300044 hit 
S 642ec0,4 tag = 6411, set = 22, block = 6565568 miss eviction 
L 6021b0,4 tag = 6152, set = 13, block = 6300048 hit 
S 642f40,4 tag = 6411, set = 26, block = 6565696 miss eviction 
L 6021b4,4 tag = 6152, set = 13, block = 6300052 hit 
S 642fc0,4 tag = 6411, set = 30, block = 6565824 miss eviction 
L 6021b8,4 tag = 6152, set = 13, block = 6300056 hit 
S 643040,4 tag = 6412, set = 2, block = 6565952 miss eviction 
L 6021bc,4 tag = 6152, set = 13, block = 6300060 hit 
S 6430c0,4 tag = 6412, set = 6, block = 6566080 miss eviction 
L 6021c0,4 tag = 6152, set = 14, block = 6300096 miss eviction 
S 642144,4 tag = 6408, set = 10, block = 6562116 miss eviction 
L 6021c4,4 tag = 6152, set = 14, block = 6300100 hit 
S 6421c4,4 tag = 6408, set = 14, block = 6562244 miss eviction 
L 6021c8,4 tag = 6152, set = 14, block = 6300104 miss eviction 
S 642244,4 tag = 6408, set = 18, block = 6562372 miss eviction 
L 6021cc,4 tag = 6152, set = 14, block = 6300108 hit 
S 6422c4,4 tag = 6408, set = 22, block = 6562500 miss eviction 
L 6021d0,4 tag = 6152, set = 14, block = 6300112 hit 
S 642344,4 tag = 6408, set = 26, block = 6562628 miss eviction 
L 6021d4,4 tag = 6152, set = 14, block = 6300116 hit 
S 6423c4,4 tag = 6408, set = 30, block = 6562756 miss eviction 
L 6021d8,4 tag = 6152, set = 14, block = 6300120 hit 
S 642444,4 tag = 6409, set = 2, block = 6562884 miss eviction 
L 6021dc,4 tag = 6152, set = 14, block = 6300124 hit 
S 6424c4,4 tag = 6409, set = 6, block = 6563012 miss eviction 
L 6021e0,4 tag = 6152, set = 15, block = 6300096 miss 
S 642544,4 tag = 6409, set = 10, block = 6563140 miss eviction 
L 6021e4,4 tag = 6152, set = 15, block = 6300100 hit 
S 6425c4,4 tag = 6409, set = 14, block = 6563268 miss eviction 
L 6021e8,4 tag = 6152, set = 15, block = 6300104 hit 
S 642644,4 tag = 6409, set = 18, block = 6563396 miss eviction 
L 6021ec,4 tag = 6152, set = 15, block = 6300108 hit 
S 6426c4,4 tag = 6409, set = 22, block = 6563524 miss eviction 
L 6021f0,4 tag = 6152, set = 15, block = 6300112 hit 
S 642744,4 tag = 6409, set = 26, block = 6563652 miss eviction 
L 6021f4,4 tag = 6152, set = 15, block = 6300116 hit 
S 6427c4,4 tag = 6409, set = 30, block = 6563780 miss eviction 
L 6021f8,4 tag = 6152, set = 15, block = 6300120 hit 
S 642844,4 tag = 6410, set = 2, block = 6563908 miss eviction 
L 6021fc,4 tag = 6152, set = 15, block = 6300124 hit 
S 6428c4,4 tag = 6410, set = 6, block = 6564036 miss eviction 
L 602200,4 tag = 6152, set = 16, block = 6300160 miss 
S 642944,4 tag = 6410, set = 10, block = 6564164 miss eviction 
L 602204,4 tag = 6152, set = 16, block = 6300164 hit 
S 6429c4,4 tag = 6410, set = 14, block = 6564292 miss eviction 
L 602208,4 tag = 6152, set = 16, block = 6300168 hit 
S 642a44,4 tag = 6410, set = 18, block = 6564420 miss eviction 
L 60220c,4 tag = 6152, set = 16, block = 6300172 hit 
S 642ac4,4 tag = 6410, set = 22, block = 6564548 miss eviction 
L 602210,4 tag = 6152, set = 16, block = 6300176 hit 
S 642b44,4 tag = 6410, set = 26, block = 6564676 miss eviction 
L 602214,4 tag = 6152, set = 16, block = 6300180 hit 
S 642bc4,4 tag = 6410, set = 30, block = 6564804 miss eviction 
L 602218,4 tag = 6152, set = 16, block = 6300184 hit 
S 642c44,4 tag = 6411, set = 2, block = 6564932 miss eviction 
L 60221c,4 tag = 6152, set = 16, block = 6300188 hit 
S 642cc4,4 tag = 6411, set = 6, block = 6565060 miss eviction 
L 602220,4 tag = 6152, set = 17, block = 6300160 miss 
S 642d44,4 tag = 6411, set = 10, block = 6565188 miss eviction 
L 602224,4 tag = 6152, set = 17, block = 6300164 hit 
S 642dc4,4 tag = 6411, set = 14, block = 6565316 miss eviction 
L 602228,4 tag = 6152, set = 17, block = 6300168 hit 
S 642e44,4 tag = 6411, set = 18, block = 6565444 miss eviction 
L 60222c,4 tag = 6152, set = 17, block = 6300172 hit 
S 642ec4,4 tag = 6411, set = 22, block = 6565572 miss eviction 
L 602230,4 tag = 6152, set = 17, block = 6300176 hit 
S 642f44,4 tag = 6411, set = 26, block = 6565700 miss eviction 
L 602234,4 tag = 6152, set = 17, block = 6300180 hit 
S 642fc4,4 tag = 6411, set = 30, block = 6565828 miss eviction 
L 602238,4 tag = 6152, set = 17, block = 6300184 hit 
S 643044,4 tag = 6412, set = 2, block = 6565956 miss eviction 
L 60223c,4 tag = 6152, set = 17, block = 6300188 hit 
S 6430c4,4 tag = 6412, set = 6, block = 6566084 miss eviction 
L 602240,4 tag = 6152, set = 18, block = 6300224 miss eviction 
S 642148,4 tag = 6408, set = 10, block = 6562120 miss eviction 
L 602244,4 tag = 6152, set = 18, block = 6300228 hit 
S 6421c8,4 tag = 6408, set = 14, block = 6562248 miss eviction 
L 602248,4 tag = 6152, set = 18, block = 6300232 hit 
S 642248,4 tag = 6408, set = 18, block = 6562376 miss eviction 
L 60224c,4 tag = 6152, set = 18, block = 6300236 miss eviction 
S 6422c8,4 tag = 6408, set = 22, block = 6562504 miss eviction 
L 602250,4 tag = 6152, set = 18, block = 6300240 hit 
S 642348,4 tag = 6408, set = 26, block = 6562632 miss eviction 
L 602254,4 tag = 6152, set = 18, block = 6300244 hit 
S 6423c8,4 tag = 6408, set = 30, block = 6562760 miss eviction 
L 602258,4 tag = 6152, set = 18, block = 6300248 hit 
S 642448,4 tag = 6409, set = 2, block = 6562888 miss eviction 
L 60225c,4 tag = 6152, set = 18, block = 6300252 hit 
S 6424c8,4 tag = 6409, set = 6, block = 6563016 miss eviction 
L 602260,4 tag = 6152, set = 19, block = 6300224 miss 
S 642548,4 tag = 6409, set = 10, block = 6563144 miss eviction 
L 602264,4 tag = 6152, set = 19, block = 6300228 hit 
S 6425c8,4 tag = 6409, set = 14, block = 6563272 miss eviction 
L 602268,4 tag = 6152, set = 19, block = 6300232 hit 
S 642648,4 tag = 6409, set = 18, block = 6563400 miss eviction 
L 60226c,4 tag = 6152, set = 19, block = 6300236 hit 
S 6426c8,4 tag = 6409, set = 22, block = 6563528 miss eviction 
L 602270,4 tag = 6152, set = 19, block = 6300240 hit 
S 642748,4 tag = 6409, set = 26, block = 6563656 miss eviction 
L 602274,4 tag = 6152, set = 19, block = 6300244 hit 
S 6427c8,4 tag = 6409, set = 30, block = 6563784 miss eviction 
L 602278,4 tag = 6152, set = 19, block = 6300248 hit 
S 642848,4 tag = 6410, set = 2, block = 6563912 miss eviction 
L 60227c,4 tag = 6152, set = 19, block = 6300252 hit 
S 6428c8,4 tag = 6410, set = 6, block = 6564040 miss eviction 
L 602280,4 tag = 6152, set = 20, block = 6300288 miss 
S 642948,4 tag = 6410, set = 10, block = 6564168 miss eviction 
L 602284,4 tag = 6152, set = 20, block = 6300292 hit 
S 6429c8,4 tag = 6410, set = 14, block = 6564296 miss eviction 
L 602288,4 tag = 6152, set = 20, block = 6300296 hit 
S 642a48,4 tag = 6410, set = 18, block = 6564424 miss eviction 
L 60228c,4 tag = 6152, set = 20, block = 6300300 hit 
S 642ac8,4 tag = 6410, set = 22, block = 6564552 miss eviction 
L 602290,4 tag = 6152, set = 20, block = 6300304 hit 
S 642b48,4 tag = 6410, set = 26, block = 6564680 miss eviction 
L 602294,4 tag = 6152, set = 20, block = 6300308 hit 
S 642bc8,4 tag = 6410, set = 30, block = 6564808 miss eviction 
L 602298,4 tag = 6152, set = 20, block = 6300312 hit 
S 642c48,4 tag = 6411, set = 2, block = 6564936 miss eviction 
L 60229c,4 tag = 6152, set = 20, block = 6300316 hit 
S 642cc8,4 tag = 6411, set = 6, block = 6565064 miss eviction 
L 6022a0,4 tag = 6152, set = 21, block = 6300288 miss 
S 642d48,4 tag = 6411, set = 10, block = 6565192 miss eviction 
L 6022a4,4 tag = 6152, set = 21, block = 6300292 hit 
S 642dc8,4 tag = 6411, set = 14, block = 6565320 miss eviction 
L 6022a8,4 tag = 6152, set = 21, block = 6300296 hit 
S 642e48,4 tag = 6411, set = 18, block = 6565448 miss eviction 
L 6022ac,4 tag = 6152, set = 21, block = 6300300 hit 
S 642ec8,4 tag = 6411, set = 22, block = 6565576 miss eviction 
L 6022b0,4 tag = 6152, set = 21, block = 6300304 hit 
S 642f48,4 tag = 6411, set = 26, block = 6565704 miss eviction 
L 6022b4,4 tag = 6152, set = 21, block = 6300308 hit 
S 642fc8,4 tag = 6411, set = 30, block = 6565832 miss eviction 
L 6022b8,4 tag = 6152, set = 21, block = 6300312 hit 
S 643048,4 tag = 6412, set = 2, block = 6565960 miss eviction 
L 6022bc,4 tag = 6152, set = 21, block = 6300316 hit 
S 6430c8,4 tag = 6412, set = 6, block = 6566088 miss eviction 
L 6022c0,4 tag = 6152, set = 22, block = 6300352 miss eviction 
S 64214c,4 tag = 6408, set = 10, block = 6562124 miss eviction 
L 6022c4,4 tag = 6152, set = 22, block = 6300356 hit 
S 6421cc,4 tag = 6408, set = 14, block = 6562252 miss eviction 
L 6022c8,4 tag = 6152, set = 22, block = 6300360 hit 
S 64224c,4 tag = 6408, set = 18, block = 6562380 miss eviction 
L 6022cc,4 tag = 6152, set = 22, block = 6300364 hit 
S 6422cc,4 tag = 6408, set = 22, block = 6562508 miss eviction 
L 6022d0,4 tag = 6152, set = 22, block = 6300368 miss eviction 
S 64234c,4 tag = 6408, set = 26, block = 6562636 miss eviction 
L 6022d4,4 tag = 6152, set = 22, block = 6300372 hit 
S 6423cc,4 tag = 6408, set = 30, block = 6562764 miss eviction 
L 6022d8,4 tag = 6152, set = 22, block = 6300376 hit 
S 64244c,4 tag = 6409, set = 2, block = 6562892 miss eviction 
L 6022dc,4 tag = 6152, set = 22, block = 6300380 hit 
S 6424cc,4 tag = 6409, set = 6, block = 6563020 miss eviction 
L 6022e0,4 tag = 6152, set = 23, block = 6300352 miss 
S 64254c,4 tag = 6409, set = 10, block = 6563148 miss eviction 
L 6022e4,4 tag = 6152, set = 23, block = 6300356 hit 
S 6425cc,4 tag = 6409, set = 14, block = 6563276 miss eviction 
L 6022e8,4 tag = 6152, set = 23, block = 6300360 hit 
S 64264c,4 tag = 6409, set = 18, block = 6563404 miss eviction 
L 6022ec,4 tag = 6152, set = 23, block = 6300364 hit 
S 6426cc,4 tag = 6409, set = 22, block = 6563532 miss eviction 
L 6022f0,4 tag = 6152, set = 23, block = 6300368 hit 
S 64274c,4 tag = 6409, set = 26, block = 6563660 miss eviction 
L 6022f4,4 tag = 6152, set = 23, block = 6300372 hit 
S 6427cc,4 tag = 6409, set = 30, block = 6563788 miss eviction 
L 6022f8,4 tag = 6152, set = 23, block = 6300376 hit 
S 64284c,4 tag = 6410, set = 2, block = 6563916 miss eviction 
L 6022fc,4 tag = 6152, set = 23, block = 6300380 hit 
S 6428cc,4 tag = 6410, set = 6, block = 6564044 miss eviction 
L 602300,4 tag = 6152, set = 24, block = 6300416 miss 
S 64294c,4 tag = 6410, set = 10, block = 6564172 miss eviction 
L 602304,4 tag = 6152, set = 24, block = 6300420 hit 
S 6429cc,4 tag = 6410, set = 14, block = 6564300 miss eviction 
L 602308,4 tag = 6152, set = 24, block = 6300424 hit 
S 642a4c,4 tag = 6410, set = 18, block = 6564428 miss eviction 
L 60230c,4 tag = 6152, set = 24, block = 6300428 hit 
S 642acc,4 tag = 6410, set = 22, block = 6564556 miss eviction 
L 602310,4 tag = 6152, set = 24, block = 6300432 hit 
S 642b4c,4 tag = 6410, set = 26, block = 6564684 miss eviction 
L 602314,4 tag = 6152, set = 24, block = 6300436 hit 
S 642bcc,4 tag = 6410, set = 30, block = 6564812 miss eviction 
L 602318,4 tag = 6152, set = 24, block = 6300440 hit 
S 642c4c,4 tag = 6411, set = 2, block = 6564940 miss eviction 
L 60231c,4 tag = 6152, set = 24, block = 6300444 hit 
S 642ccc,4 tag = 6411, set = 6, block = 6565068 miss eviction 
L 602320,4 tag = 6152, set = 25, block = 6300416 miss 
S 642d4c,4 tag = 6411, set = 10, block = 6565196 miss eviction 
L 602324,4 tag = 6152, set = 25, block = 6300420 hit 
S 642dcc,4 tag = 6411, set = 14, block = 6565324 miss eviction 
L 602328,4 tag = 6152, set = 25, block = 6300424 hit 
S 642e4c,4 tag = 6411, set = 18, block = 6565452 miss eviction 
L 60232c,4 tag = 6152, set = 25, block = 6300428 hit 
S 642ecc,4 tag = 6411, set = 22, block = 6565580 miss eviction 
L 602330,4 tag = 6152, set = 25, block = 6300432 hit 
S 642f4c,4 tag = 6411, set = 26, block = 6565708 miss eviction 
L 602334,4 tag = 6152, set = 25, block = 6300436 hit 
S 642fcc,4 tag = 6411, set = 30, block = 6565836 miss eviction 
L 602338,4 tag = 6152, set = 25, block = 6300440 hit 
S 64304c,4 tag = 6412, set = 2, block = 6565964 miss eviction 
L 60233c,4 tag = 6152, set = 25, block = 6300444 hit 
S 6430cc,4 tag = 6412, set = 6, block = 6566092 miss eviction 
L 602340,4 tag = 6152, set = 26, block = 6300480 miss eviction 
S 642150,4 tag = 6408, set = 10, block = 6562128 miss eviction 
L 602344,4 tag = 6152, set = 26, block = 6300484 hit 
S 6421d0,4 tag = 6408, set = 14, block = 6562256 miss eviction 
L 602348,4 tag = 6152, set = 26, block = 6300488 hit 
S 642250,4 tag = 6408, set = 18, block = 6562384 miss eviction 
L 60234c,4 tag = 6152, set = 26, block = 6300492 hit 
S 6422d0,4 tag = 6408, set = 22, block = 6562512 miss eviction 
L 602350,4 tag = 6152, set = 26, block = 6300496 hit 
S 642350,4 tag = 6408, set = 26, block = 6562640 miss eviction 
L 602354,4 tag = 6152, set = 26, block = 6300500 miss eviction 
S 6423d0,4 tag = 6408, set = 30, block = 6562768 miss eviction 
L 602358,4 tag = 6152, set = 26, block = 6300504 hit 
S 642450,4 tag = 6409, set = 2, block = 6562896 miss eviction 
L 60235c,4 tag = 6152, set = 26, block = 6300508 hit 
S 6424d0,4 tag = 6409, set = 6, block = 6563024 miss eviction 
L 602360,4 tag = 6152, set = 27, block = 6300480 miss 
S 642550,4 tag = 6409, set = 10, block = 6563152 miss eviction 
L 602364,4 tag = 6152, set = 27, block = 6300484 hit 
S 6425d0,4 tag = 6409, set = 14, block = 6563280 miss eviction 
L 602368,4 tag = 6152, set = 27, block = 6300488 hit 
S 642650,4 tag = 6409, set = 18, block = 6563408 miss eviction 
L 60236c,4 tag = 6152, set = 27, block = 6300492 hit 
S 6426d0,4 tag = 6409, set = 22, block = 6563536 miss eviction 
L 602370,4 tag = 6152, set = 27, block = 6300496 hit 
S 642750,4 tag = 6409, set = 26, block = 6563664 miss eviction 
L 602374,4 tag = 6152, set = 27, block = 6300500 hit 
S 6427d0,4 tag = 6409, set = 30, block = 6563792 miss eviction 
L 602378,4 tag = 6152, set = 27, block = 6300504 hit 
S 642850,4 tag = 6410, set = 2, block = 6563920 miss eviction 
L 60237c,4 tag = 6152, set = 27, block = 6300508 hit 
S 6428d0,4 tag = 6410, set = 6, block = 6564048 miss eviction 
L 602380,4 tag = 6152, set = 28, block = 6300544 miss 
S 642950,4 tag = 6410, set = 10, block = 6564176 miss eviction 
L 602384,4 tag = 6152, set = 28, block = 6300548 hit 
S 6429d0,4 tag = 6410, set = 14, block = 6564304 miss eviction 
L 602388,4 tag = 6152, set = 28, block = 6300552 hit 
S 642a50,4 tag = 6410, set = 18, block = 6564432 miss eviction 
L 60238c,4 tag = 6152, set = 28, block = 6300556 hit 
S 642ad0,4 tag = 6410, set = 22, block = 6564560 miss eviction 
L 602390,4 tag = 6152, set = 28, block = 6300560 hit 
S 642b50,4 tag = 6410, set = 26, block = 6564688 miss eviction 
L 602394,4 tag = 6152, set = 28, block = 6300564 hit 
S 642bd0,4 tag = 6410, set = 30, block = 6564816 miss eviction 
L 602398,4 tag = 6152, set = 28, block = 6300568 hit 
S 642c50,4 tag = 6411, set = 2, block = 6564944 miss eviction 
L 60239c,4 tag = 6152, set = 28, block = 6300572 hit 
S 642cd0,4 tag = 6411, set = 6, block = 6565072 miss eviction 
L 6023a0,4 tag = 6152, set = 29, block = 6300544 miss 
S 642d50,4 tag = 6411, set = 10, block = 6565200 miss eviction 
L 6023a4,4 tag = 6152, set = 29, block = 6300548 hit 
S 642dd0,4 tag = 6411, set = 14, block = 6565328 miss eviction 
L 6023a8,4 tag = 6152, set = 29, block = 6300552 hit 
S 642e50,4 tag = 6411, set = 18, block = 6565456 miss eviction 
L 6023ac,4 tag = 6152, set = 29, block = 6300556 hit 
S 642ed0,4 tag = 6411, set = 22, block = 6565584 miss eviction 
L 6023b0,4 tag = 6152, set = 29, block = 6300560 hit 
S 642f50,4 tag = 6411, set = 26, block = 6565712 miss eviction 
L 6023b4,4 tag = 6152, set = 29, block = 6300564 hit 
S 642fd0,4 tag = 6411, set = 30, block = 6565840 miss eviction 
L 6023b8,4 tag = 6152, set = 29, block = 6300568 hit 
S 643050,4 tag = 6412, set = 2, block = 6565968 miss eviction 
L 6023bc,4 tag = 6152, set = 29, block = 6300572 hit 
S 6430d0,4 tag = 6412, set = 6, block = 6566096 miss eviction 
L 6023c0,4 tag = 6152, set = 30, block = 6300608 miss eviction 
S 642154,4 tag = 6408, set = 10, block = 6562132 miss eviction 
L 6023c4,4 tag = 6152, set = 30, block = 6300612 hit 
S 6421d4,4 tag = 6408, set = 14, block = 6562260 miss eviction 
L 6023c8,4 tag = 6152, set = 30, block = 6300616 hit 
S 642254,4 tag = 6408, set = 18, block = 6562388 miss eviction 
L 6023cc,4 tag = 6152, set = 30, block = 6300620 hit 
S 6422d4,4 tag = 6408, set = 22, block = 6562516 miss eviction 
L 6023d0,4 tag = 6152, set = 30, block = 6300624 hit 
S 642354,4 tag = 6408, set = 26, block = 6562644 miss eviction 
L 6023d4,4 tag = 6152, set = 30, block = 6300628 hit 
S 6423d4,4 tag = 6408, set = 30, block = 6562772 miss eviction 
L 6023d8,4 tag = 6152, set = 30, block = 6300632 miss eviction 
S 642454,4 tag = 6409, set = 2, block = 6562900 miss eviction 
L 6023dc,4 tag = 6152, set = 30, block = 6300636 hit 
S 6424d4,4 tag = 6409, set = 6, block = 6563028 miss eviction 
L 6023e0,4 tag = 6152, set = 31, block = 6300608 miss 
S 642554,4 tag = 6409, set = 10, block = 6563156 miss eviction 
L 6023e4,4 tag = 6152, set = 31, block = 6300612 hit 
S 6425d4,4 tag = 6409, set = 14, block = 6563284 miss eviction 
L 6023e8,4 tag = 6152, set = 31, block = 6300616 hit 
S 642654,4 tag = 6409, set = 18, block = 6563412 miss eviction 
L 6023ec,4 tag = 6152, set = 31, block = 6300620 hit 
S 6426d4,4 tag = 6409, set = 22, block = 6563540 miss eviction 
L 6023f0,4 tag = 6152, set = 31, block = 6300624 hit 
S 642754,4 tag = 6409, set = 26, block = 6563668 miss eviction 
L 6023f4,4 tag = 6152, set = 31, block = 6300628 hit 
S 6427d4,4 tag = 6409, set = 30, block = 6563796 miss eviction 
L 6023f8,4 tag = 6152, set = 31, block = 6300632 hit 
S 642854,4 tag = 6410, set = 2, block = 6563924 miss eviction 
L 6023fc,4 tag = 6152, set = 31, block = 6300636 hit 
S 6428d4,4 tag = 6410, set = 6, block = 6564052 miss eviction 
L 602400,4 tag = 6153, set = 0, block = 6300672 miss 
S 642954,4 tag = 6410, set = 10, block = 6564180 miss eviction 
L 602404,4 tag = 6153, set = 0, block = 6300676 hit 
S 6429d4,4 tag = 6410, set = 14, block = 6564308 miss eviction 
L 602408,4 tag = 6153, set = 0, block = 6300680 hit 
S 642a54,4 tag = 6410, set = 18, block = 6564436 miss eviction 
L 60240c,4 tag = 6153, set = 0, block = 6300684 hit 
S 642ad4,4 tag = 6410, set = 22, block = 6564564 miss eviction 
L 602410,4 tag = 6153, set = 0, block = 6300688 hit 
S 642b54,4 tag = 6410, set = 26, block = 6564692 miss eviction 
L 602414,4 tag = 6153, set = 0, block = 6300692 hit 
S 642bd4,4 tag = 6410, set = 30, block = 6564820 miss eviction 
L 602418,4 tag = 6153, set = 0, block = 6300696 hit 
S 642c54,4 tag = 6411, set = 2, block = 6564948 miss eviction 
L 60241c,4 tag = 6153, set = 0, block = 6300700 hit 
S 642cd4,4 tag = 6411, set = 6, block = 6565076 miss eviction 
L 602420,4 tag = 6153, set = 1, block = 6300672 miss 
S 642d54,4 tag = 6411, set = 10, block = 6565204 miss eviction 
L 602424,4 tag = 6153, set = 1, block = 6300676 hit 
S 642dd4,4 tag = 6411, set = 14, block = 6565332 miss eviction 
L 602428,4 tag = 6153, set = 1, block = 6300680 hit 
S 642e54,4 tag = 6411, set = 18, block = 6565460 miss eviction 
L 60242c,4 tag = 6153, set = 1, block = 6300684 hit 
S 642ed4,4 tag = 6411, set = 22, block = 6565588 miss eviction 
L 602430,4 tag = 6153, set = 1, block = 6300688 hit 
S 642f54,4 tag = 6411, set = 26, block = 6565716 miss eviction 
L 602434,4 tag = 6153, set = 1, block = 6300692 hit 
S 642fd4,4 tag = 6411, set = 30, block = 6565844 miss eviction 
L 602438,4 tag = 6153, set = 1, block = 6300696 hit 
S 643054,4 tag = 6412, set = 2, block = 6565972 miss eviction 
L 60243c,4 tag = 6153, set = 1, block = 6300700 hit 
S 6430d4,4 tag = 6412, set = 6, block = 6566100 miss eviction 
L 602440,4 tag = 6153, set = 2, block = 6300736 miss eviction 
S 642158,4 tag = 6408, set = 10, block = 6562136 miss eviction 
L 602444,4 tag = 6153, set = 2, block = 6300740 hit 
S 6421d8,4 tag = 6408, set = 14, block = 6562264 miss eviction 
L 602448,4 tag = 6153, set = 2, block = 6300744 hit 
S 642258,4 tag = 6408, set = 18, block = 6562392 miss eviction 
L 60244c,4 tag = 6153, set = 2, block = 6300748 hit 
S 6422d8,4 tag = 6408, set = 22, block = 6562520 miss eviction 
L 602450,4 tag = 6153, set = 2, block = 6300752 hit 
S 642358,4 tag = 6408, set = 26, block = 6562648 miss eviction 
L 602454,4 tag = 6153, set = 2, block = 6300756 hit 
S 6423d8,4 tag = 6408, set = 30, block = 6562776 miss eviction 
L 602458,4 tag = 6153, set = 2, block = 6300760 hit 
S 642458,4 tag = 6409, set = 2, block = 6562904 miss eviction 
L 60245c,4 tag = 6153, set = 2, block = 6300764 miss eviction 
S 6424d8,4 tag = 6409, set = 6, block = 6563032 miss eviction 
L 602460,4 tag = 6153, set = 3, block = 6300736 miss 
S 642558,4 tag = 6409, set = 10, block = 6563160 miss eviction 
L 602464,4 tag = 6153, set = 3, block = 6300740 hit 
S 6425d8,4 tag = 6409, set = 14, block = 6563288 miss eviction 
L 602468,4 tag = 6153, set = 3, block = 6300744 hit 
S 642658,4 tag = 6409, set = 18, block = 6563416 miss eviction 
L 60246c,4 tag = 6153, set = 3, block = 6300748 hit 
S 6426d8,4 tag = 6409, set = 22, block = 6563544 miss eviction 
L 602470,4 tag = 6153, set = 3, block = 6300752 hit 
S 642758,4 tag = 6409, set = 26, block = 6563672 miss eviction 
L 602474,4 tag = 6153, set = 3, block = 6300756 hit 
S 6427d8,4 tag = 6409, set = 30, block = 6563800 miss eviction 
L 602478,4 tag = 6153, set = 3, block = 6300760 hit 
S 642858,4 tag = 6410, set = 2, block = 6563928 miss eviction 
L 60247c,4 tag = 6153, set = 3, block = 6300764 hit 
S 6428d8,4 tag = 6410, set = 6, block = 6564056 miss eviction 
L 602480,4 tag = 6153, set = 4, block = 6300800 miss 
S 642958,4 tag = 6410, set = 10, block = 6564184 miss eviction 
L 602484,4 tag = 6153, set = 4, block = 6300804 hit 
S 6429d8,4 tag = 6410, set = 14, block = 6564312 miss eviction 
L 602488,4 tag = 6153, set = 4, block = 6300808 hit 
S 642a58,4 tag = 6410, set = 18, block = 6564440 miss eviction 
L 60248c,4 tag = 6153, set = 4, block = 6300812 hit 
S 642ad8,4 tag = 6410, set = 22, block = 6564568 miss eviction 
